De,Ru,Priority,Learned,Skip
Отвечают на вопрос.,,9,0,-
Откуда вы идете?,,9,0,-
Папа моет кошку.,,9,0,-
Папа не голоден.,,9,0,-
Папа покупает хлеб. (Akkusativ),,9,0,-
Папа чинит машину.,,9,0,-
Паспорта старые.,,9,0,-
Пекут пироги и торты.,,9,0,-
Письмо от моей бабушки.,,9,0,-
По утрам я пью томатный сок и ем хлеб с вареньем (мармеладом).,,9,0,-
Погода сегодня плохая.,,9,0,-
Подруга грустная.,,9,0,-
Полицейский ищет ее.,,9,0,-
Получаете ли вы (ihr) документ?,,9,0,-
Помогают бездомным.,,9,0,-
После урока мы идём в парк.,,9,0,-
Почему он здесь сидит?,,9,0,-
Почему они стыдятся? ,,9,0,-
Почему ты читаешь газету?,,9,0,-
Придерживаются диеты.,,9,0,-
Приносят ли они зонт?,,9,0,-
Проверяют проекты в бюро.,,9,0,-
Продает ли она дом?,,9,0,-
Продукты в магазине дешевые.,,9,0,-
Прохожий описывает ее.,,9,0,-
Разрешается декорировать помещения.,,9,0,-
Растут почти целый год.,,9,0,-
Ребенок дает кошке собаку. Неопределенные артикли.,,9,0,-
Ребенок дает кошке собаку. Определенные артикли.,,9,0,-
Ребенок дает кошку родителей собаке. Неопределенные артикли.,,9,0,-
Ребенок дает кошку родителей собаке. Определенные артикли.,,9,0,-
Ребенок дает собаке кошку. Неопределенные артикли.,,9,0,-
Ребенок дает собаке кошку. Определенные артикли.,,9,0,-
Ребенок спрашивает нас.,,9,0,-
Рекомендуют больше воды летом.,,9,0,-
Ремонтируют железную дорогу.,,9,0,-
Ресторан маленький.,,9,0,-
Ресторан хороший. У них есть лосось.,,9,0,-
Родители дают собаку ребенка кошке. Неопределенные артикли.,,9,0,-
Родители дают собаку ребенка кошке. Определенные артикли.,,9,0,-
Родители заказывают цветы для бабушки,,9,0,-
Родители не поедут в Германию.,,9,0,-
Родители помогают много.,,9,0,-
Родители прячут подарки.,,9,0,-
Родители пьют пиво.,,9,0,-
Родителям можно пить пиво.,,9,0,-
США – государство. ,,9,0,-
Сегодня небо тёмное.,,9,0,-
Сегодня я иду в кино.,,9,0,-
Сестра моет сейчас кошку.,,9,0,-
Сестра не умеет читать.,,9,0,-
Сестра плачет.,,9,0,-
Сидит ли он здесь?,,9,0,-
Сколько стоит машина?,,9,0,-
Скрипка – прекрасный инструмент.,,9,0,-
Сладости едят каждый день.,,9,0,-
Следует выключать мобильные телефоны в кино.,,9,0,-
Следует защищать окружающую среду.,,9,0,-
Следует носить теплую одежду зимой.,,9,0,-
Следует сообщить об изменениях.,,9,0,-
Собака дает кошке ребенка. Неопределенные артикли.,,9,0,-
Собака дает кошке ребенка. Определенные артикли.,,9,0,-
Собака дает ребенка кошки родителям. Неопределенные артикли.,,9,0,-
Собака дает ребенка кошки родителям. Определенные артикли.,,9,0,-
Собака дает ребенку кошку. Неопределенные артикли.,,9,0,-
Собака дает ребенку кошку. Определенные артикли.,,9,0,-
Собака сидит.,,9,0,-
Собака служит ему.,,9,0,-
Солнце яркое.,,9,0,-
Сотрудники находят его.,,9,0,-
Сотрудники соглашаются с вами (ihr).,,9,0,-
Стирают одежду.,,9,0,-
Студенты не должны здесь курить.,,9,0,-
Студенты сегодня прилежные.,,9,0,-
Считаете ли Вы город красивым?,,9,0,-
Сыновья красивые и дочери умные.,,9,0,-
Твои газеты новые.,,9,0,-
Твои родители тоже родом из России?,,9,0,-
Твой подарок прекрасен.,,9,0,-
Твой торт холодный.,,9,0,-
Твоя одежда слишком короткая.,,9,0,-
Тебе можно слушать музыку.,,9,0,-
Тебе нельзя кушать много.,,9,0,-
Турист платит ему.,,9,0,-
Тут Вы (формально) можете купить воду.,,9,0,-
Ты бегаешь быстро.,,9,0,-
Ты болен. Ты можешь не идти в школу.,,9,0,-
Ты всегда всё забываешь.,,9,0,-
Ты встречаешь меня.,,9,0,-
"Ты двигаешься очень мало, поэтому ты чувствуешь себя плохо.",,9,0,-
Ты должен учиться.,,9,0,-
Ты должна постирать платье.,,9,0,-
Ты дома.,,9,0,-
Ты ешь бутерброд?,,9,0,-
Ты пишешь объявление?,,9,0,-
Ты покупаешь платье для мамы.,,9,0,-
Ты прекрасна как цветок.,,9,0,-
Ты слушаешь музыку.,,9,0,-
Ты спишь мало.,,9,0,-
Ты спишь часто.,,9,0,-
Ты уже представляешь себе это место? ,,9,0,-
Ты уже читаешь сообщение?,,9,0,-
Ты фотографируешь меня.,,9,0,-
Ты часто смотришь в (in) книгу.,,9,0,-
Ты читаешь газету?,,9,0,-
У Вас (формально) есть дом. Он дорогой.,,9,0,-
У Вас (формально) есть молоко.,,9,0,-
У вас (формально) есть еще один телефонный номер?,,9,0,-
У вас есть время.,,9,0,-
У кошки есть кровать.,,9,0,-
У меня есть кошка. Она маленькая.,,9,0,-
У меня нет друзей.,,9,0,-
У нас есть работа.,,9,0,-
У нас мало лосося.,,9,0,-
У нас нет книг.,,9,0,-
У нашего учителя сегодня день рождения.,,9,0,-
У него есть машина. Машина новая.,,9,0,-
У него есть носки. Они дорогие.,,9,0,-
У него нет (никакого) подарка для неё.,,9,0,-
У нее есть кукла. Она красивая.,,9,0,-
У нее много друзей.,,9,0,-
У нее хорошие оценки в школе. Мы радуемся за нее.,,9,0,-
У них есть друзья. Друзья взрослые.,,9,0,-
У них есть кровать. Она большая.,,9,0,-
У ребенка есть кукла. Кукла милая.,,9,0,-
У ребенка есть учительница.,,9,0,-
Уже поздно.,,9,0,-
Уроки уже очень длинные.,,9,0,-
Ученики умные.,,9,0,-
Учитель говорит мне.,,9,0,-
Учитель устал. У него много уроков.,,9,0,-
Хотел ли бы ты к нам подать заявление на работу?,,9,0,-
Хотят посетить музеи.,,9,0,-
"Цвета, языкиб буквы, ноты, ед.изм.",,9,0,-
Чай с сахаром слишком сладкий. (Dativ),,9,0,-
Часто падают.,,9,0,-
Чей? Детей,,9,0,-
Чей? Женщины,,9,0,-
Чей? Мужчины,,9,0,-
Чей? Ребёнка,,9,0,-
Чемодан принадлежит нам.,,9,0,-
Что вы (ihr) делаете вместе?,,9,0,-
Что готовит женщина?,,9,0,-
Что делает девочка?,,9,0,-
Что она читает?,,9,0,-
Что они едят?,,9,0,-
Что ты говоришь сейчас?,,9,0,-
Что ты здесь ищешь?,,9,0,-
Что ты собственно говоря делаешь сейчас? Я смотрю телевизионное шоу. ,,9,0,-
Школьник выполняет его.,,9,0,-
Школьник интересуется наукой.,,9,0,-
Эта газета новая.,,9,0,-
Эта девочка не его дочь.,,9,0,-
Эта женщина очень хорошо поёт.,,9,0,-
Эта комната большая.,,9,0,-
Эти книги пишет Набоков.,,9,0,-
Эти учителя работают онлайн.,,9,0,-
Эти фильмы не плохие.,,9,0,-
Эти языки прекрасны.,,9,0,-
Это (какое-то) здание. Здание уродливое.,,9,0,-
Это (какой-то) ученик.,,9,0,-
Это (какой-то) цветок. Цветок красивый.,,9,0,-
Это ваза. (Эта) ваза новая.,,9,0,-
Это комната. (Эта) комната маленькая и уродливая.,,9,0,-
Это моя книга.,,9,0,-
Это не девочки.,,9,0,-
Это не мальчик.,,9,0,-
Это не сок.,,9,0,-
Это не цветок.,,9,0,-
Это не шоколад.,,9,0,-
Это письмо от папы. (Dativ),,9,0,-
Это подарок для ребёнка.,,9,0,-
Это стол. Стол красивый.,,9,0,-
Это цветок для Сабрины. (Akkusativ),,9,0,-
Этот автомобиль дорогой.,,9,0,-
Этот актёр – Брэд Питт.,,9,0,-
Этот дом слишком старый.,,9,0,-
Этот магазин закрывается.,,9,0,-
Этот ребёнок идёт в бассейн.,,9,0,-
Этот ученик не мой друг.,,9,0,-
Этот фильм делает Тарантино.,,9,0,-
Этот человек очень спортивный. Он питается сбалансированно. ,,9,0,-
"Я бреюсь неправильно, поэтому у меня проблемная кожа.",,9,0,-
"Я вижу около холодильника бутылку шампанского, пиво, чай, кофе и газету. ",,9,0,-
Я дарю маме шоколад. (Dativ),,9,0,-
Я должен идти.,,9,0,-
"Я должен одеваться тепло, так как я очень часто простужаю себе горло. Я простужаюсь легко.",,9,0,-
Я должен работать.,,9,0,-
Я ем всё без соли. (Akkusativ),,9,0,-
Я ем суп.,,9,0,-
Я иду без куртки.,,9,0,-
Я иду по улице. (Akkusativ),,9,0,-
Я каждый день играю на пианино.,,9,0,-
Я мою себе руки. ,,9,0,-
Я не вижу кошек (дословно: я вижу никаких кошек).,,9,0,-
Я не иду в кино.,,9,0,-
Я не приду сегодня.,,9,0,-
Я не слышу радио.,,9,0,-
Я не смотрю это видео.,,9,0,-
Я не устал. ,,9,0,-
Я не хочу есть.,,9,0,-
Я не хочу пить минеральную воду.,,9,0,-
Я ничего не пью.,,9,0,-
Я перехожу улицу на зелёный свет (дословно: у зелёного цвета я перехожу улицу). ,,9,0,-
Я пишу книгу.,,9,0,-
Я пишу шариковой ручкой. (Dativ),,9,0,-
Я поливаю цветы.,,9,0,-
Я получаю зарплату.,,9,0,-
Я помогаю мало.,,9,0,-
Я посещаю моего врача. — Ich besuche meinen Arzt.,,9,0,-
Я приду после занятия. (Dativ),,9,0,-
Я пью кофе без молока и сахара. (Akkusativ),,9,0,-
Я работаю много.,,9,0,-
Я работаю с сентября. (Dativ),,9,0,-
Я хотел бы сок (в ресторане).,,9,0,-
Я хочу завтракать.,,9,0,-
Я хочу купить мороженое.,,9,0,-
Я читаю много книг.,,9,0,-
Яблоко с дерева. (Dativ),,9,0,-
англицизмы *,,9,0,-
бегать,,9,0,-
бежать,,9,0,-
без книги,,9,0,-
без людей,,9,0,-
без отца,,9,0,-
без сестры,,9,0,-
бить,,9,0,-
бить ключом,,9,0,-
большинство,,9,0,-
"бороться, добиваться",,9,0,-
бранить,,9,0,-
брать,,9,0,-
браться (за что-л.),,9,0,-
бродить,,9,0,-
быть,,9,0,-
быть знакомым,,9,0,-
в город,,9,0,-
в комнату,,9,0,-
в парк,,9,0,-
в страны,,9,0,-
в(к) гости,,9,0,-
в(к) гостиницу,,9,0,-
взвешивать,,9,0,-
висеть,,9,0,-
вокруг деревьев,,9,0,-
вокруг дома,,9,0,-
вокруг лампы,,9,0,-
вокруг стола,,9,0,-
вонять,,9,0,-
воровать,,9,0,-
встречать,,9,0,-
вы едете,,9,0,-
вы едите,,9,0,-
выздоравливать,,9,0,-
выигрывать,,9,0,-
выплёвывать,,9,0,-
выравнивать,,9,0,-
гладить,,9,0,-
гнать,,9,0,-
гнуть,,9,0,-
говорить,,9,0,-
гореть,,9,0,-
"грузить, приглашать",,9,0,-
давать,,9,0,-
"двигать, толкать",,9,0,-
делать,,9,0,-
"деревья, цветы, травы",,9,0,-
держать,,9,0,-
для друзей,,9,0,-
для жены,,9,0,-
для мужа,,9,0,-
для ребенка,,9,0,-
доить,,9,0,-
долженствовать,,9,0,-
думать,,9,0,-
"думать, размышлять",,9,0,-
дуть,,9,0,-
ездить верхом,,9,0,-
"есть, кушать",,9,0,-
"ехать, ездить",,9,0,-
жарить,,9,0,-
"жрать, лопать",,9,0,-
за зданиями,,9,0,-
за полкой,,9,0,-
за стеной,,9,0,-
за шкафом,,9,0,-
забывать,,9,0,-
закрывать,,9,0,-
замерзать,,9,0,-
звенеть,,9,0,-
знать о чём-то,,9,0,-
"идти, ходить",,9,0,-
из зданий,,9,0,-
из комнаты,,9,0,-
из машины,,9,0,-
из школы,,9,0,-
избегать,,9,0,-
измерять,,9,0,-
иметь,,9,0,-
к врачу,,9,0,-
к матери,,9,0,-
"качать, весить",,9,0,-
кидать,,9,0,-
"кидать, бросать",,9,0,-
клясться,,9,0,-
колоть,,9,0,-
копать,,9,0,-
красться,,9,0,-
кричать,,9,0,-
"кричать, звать",,9,0,-
кусать,,9,0,-
лгать,,9,0,-
лежать,,9,0,-
летать,,9,0,-
"лить, наливать",,9,0,-
ловить,,9,0,-
лопнуть,,9,0,-
"любить, хотеть",,9,0,-
"махать, размахивать",,9,0,-
между домами,,9,0,-
между окном,,9,0,-
между стеной,,9,0,-
между стульями,,9,0,-
молотить,,9,0,-
молоть,,9,0,-
молчать,,9,0,-
мотать,,9,0,-
мочь,,9,0,-
мочь (иметь разрешение),,9,0,-
"мы, они, Вы едем/едете",,9,0,-
"мы, они, Вы едим/едите",,9,0,-
мыть,,9,0,-
на границы,,9,0,-
на диване,,9,0,-
на крыше,,9,0,-
на окно,,9,0,-
на пляж,,9,0,-
на стену,,9,0,-
на стуле,,9,0,-
на улице,,9,0,-
на(у) концерте,,9,0,-
называть,,9,0,-
называться,,9,0,-
наслаждаться,,9,0,-
находить,,9,0,-
начинать,,9,0,-
не удаваться,,9,0,-
неодносложные слова: die *,,9,0,-
носить,,9,0,-
нюхать,,9,0,-
обвивать,,9,0,-
обманывать,,9,0,-
одалживать,,9,0,-
односложные слова: die *,,9,0,-
"он, она, оно едет",,9,0,-
"он, она, оно ест",,9,0,-
оставаться,,9,0,-
от животного,,9,0,-
от подруги,,9,0,-
от соседей,,9,0,-
от учителя,,9,0,-
падать,,9,0,-
перед входом,,9,0,-
перед дверью,,9,0,-
перед домами,,9,0,-
перед окном,,9,0,-
петь,,9,0,-
печь,,9,0,-
писать,,9,0,-
пить,,9,0,-
"пить, пьянствовать",,9,0,-
плавать,,9,0,-
плести,,9,0,-
поворачивать,,9,0,-
под кроватью,,9,0,-
под людьми,,9,0,-
под одеялом,,9,0,-
под столом,,9,0,-
поднимать,,9,0,-
подниматься,,9,0,-
"позволять, поручать, оставлять",,9,0,-
ползать,,9,0,-
помогать,,9,0,-
портить,,9,0,-
после еды,,9,0,-
после праздника,,9,0,-
после праздников,,9,0,-
после работы,,9,0,-
"посылать, отправлять",,9,0,-
"потухать, прекращаться",,9,0,-
предлагать,,9,0,-
приказывать,,9,0,-
принимать,,9,0,-
приносить,,9,0,-
принуждать,,9,0,-
приходить,,9,0,-
происходить,,9,0,-
проникать,,9,0,-
просить,,9,0,-
против закона,,9,0,-
против идеи,,9,0,-
против плана,,9,0,-
против правил,,9,0,-
прощать,,9,0,-
"прыгать, скакать",,9,0,-
прясть,,9,0,-
пугаться,,9,0,-
"пускать ростки, почки",,9,0,-
пухнуть,,9,0,-
разделять,,9,0,-
расти,,9,0,-
"расти, преуспевать",,9,0,-
рвать,,9,0,-
резать,,9,0,-
"реки, кроме",,9,0,-
рекламировать,,9,0,-
рекомендовать,,9,0,-
родить,,9,0,-
рубить,,9,0,-
с друзьями,,9,0,-
с женой,,9,0,-
с мужем,,9,0,-
с ребенком,,9,0,-
с(будущее) дня,,9,0,-
с(будущее) момента,,9,0,-
с(будущее) праздников,,9,0,-
с(будущее) часа,,9,0,-
с(прошлое) дня,,9,0,-
с(прошлое) лет,,9,0,-
с(прошлое) месяца,,9,0,-
с(прошлое) недели,,9,0,-
"светить, сиять",,9,0,-
свистеть,,9,0,-
связывать,,9,0,-
"сердить, досаждать",,9,0,-
сидеть,,9,0,-
скользить,,9,0,-
смотреть,,9,0,-
"снижаться, погружаться, тонуть",,9,0,-
советовать,,9,0,-
"создавать, творить",,9,0,-
солить,,9,0,-
сосать,,9,0,-
спасать,,9,0,-
спать,,9,0,-
спорить,,9,0,-
становиться,,9,0,-
"стоить, цениться",,9,0,-
"стоять, находиться",,9,0,-
"страдать, терпеть",,9,0,-
стрелять,,9,0,-
стричь,,9,0,-
ступать,,9,0,-
тащить,,9,0,-
таять,,9,0,-
тереть,,9,0,-
терять,,9,0,-
течь,,9,0,-
"течь, литься",,9,0,-
толкать,,9,0,-
точить,,9,0,-
"тушить, стирать",,9,0,-
ты едешь,,9,0,-
ты ешь,,9,0,-
у булочника,,9,0,-
у врача,,9,0,-
у родителей,,9,0,-
"убегать, удирать",,9,0,-
"убывать, исчезать",,9,0,-
удаваться,,9,0,-
указывать,,9,0,-
"уклоняться, уворачиваться",,9,0,-
умирать,,9,0,-
фехтовать,,9,0,-
хвалить,,9,0,-
хотеть,,9,0,-
через дверь,,9,0,-
через окно,,9,0,-
через туннель,,9,0,-
через улицы,,9,0,-
через(выше) границы,,9,0,-
через(выше) мост,,9,0,-
через(выше) проблему,,9,0,-
через(выше) реку,,9,0,-
читать,,9,0,-
шагать,,9,0,-
щипать,,9,0,-
я еду,,9,0,-
я ем,,9,0,-
ẞ,,9,0,-
"……… du ……… über deine Nachbarn, wenn sie schreien oder sehr viel Lärm machen? (sich ärgern)",,9,0,-
