Wort,Ru
vater,батька {м} [разг.] [отец] / батюшка {ж} [разг.] [отец] / батя {м} [разг.] [отец] / отец {м} / пахан {м} [жарг.] [отец] / тятя {м} [разг.] [устр.]
ersteinschulung,
monatliches,
taschengeld,карманные деньги {мн}
platz,площадка {ж} / площадь {ж} [в городе и т. п.] / сидение {с} / место {с} / плац {м}
ferienpass,
absichtlich,намеренно / намеренный / нарочито / нарочно [с намерением] / преднамеренный / специально [разг.] [намеренно] / с умыслом / умышленно / умышленный
persion,
addressiert,
beachtet,
schweigerecht,
ehescheidung,развод {м} [расторжение брака] / расторжение {с} брака
attest,свидетельство {с} [аттестация]
arztes,
sollten,
ansprechpartner,"контактное лицо {с} [представитель какой-л. организации, к которому можно обратиться за информацией]"
ansprechepartnerin,
schlecht,"негодный [разг.] [дурной, скверный] / неважный [разг.] [плохой] / неладно / нехороший / паршивый [разг.] [презр.] [плохой, тж. о человеке] / плохо / плохой / скверно / худо [разг.]"
behandlung,рассмотрение {с} [обсуждение] / обращение {с} [обхождение] / обхождение {с} / отношение {с} [обращение] / лечение {с}
gefallen,одолжение {с} / нравиться [несов.] / погибший [в бою] / понравиться [сов.] / уроненный
drohe,
zweijahriges,
beispeil,
mietshausern,
solchen,
benutzung,использование {с} / пользование {с} / употребление {с} / эксплуатация {ж}
verkehrsmittel,тра́нспорт {м} [собир.] [виды транспорта]
mieter,арендатор {м} [помещения] / квартирант {м} / квартиросъёмщик {м} / наниматель {м} [арендатор] / наёмщик {м} [разг.] [съёмщик] / съёмщик {м}
mieterinnen,
haus,дом {м} / курень {м} [разг.] [на украине и в южных областях россии: жилой дом]
adresse,адрес {м}
ordnungsamtes,
falschen,
steuerbescheid,
wehren,
wegwerfen,выбрасывать [несов.] / выбросить [сов.] / выкидывать [несов.] / выкинуть [сов.]
warten,обслуживать [технику] [несов.] / содержать в исправности / ждать [несов.]
anderer,другой / отличный [иной]
freunde,друзья {мн}
schwimmbad,(плавательный) бассейн {м}
beide,оба
hineingelassen,
situation,конъюнктура {ж} [положение] / ситуация {ж}
verletzt,оскорблённый / раненый / травмированный
ehrenamt,волонтёрство {с} / работа {ж} на общественных началах
aufgefordert,
vereinstrainer,
vereinstrainerin,
bibliothek aufsicht,
lehrerin,наставница {ж} [книжн.] / преподавательница {ж} / училка {ж} [разг.] [презр.] / учительница {ж}
lasse,
liegen,находиться [несов.] [быть расположенным] / лежание {с} / лежать [несов.]
schicke,
gehe,
zukunft,будущее {с} / грядущее {с} [возв.]
schnell,оперативный [быстрый] / быстро / быстрый / по-быстрому / скорый / стремительно
kan,
frost,заморозки {мн} / мороз {м} / стужа {ж} [разг.]
mitarbeiterin,сотрудница {ж}
gehalt,жалованье {с} [книжн.] / заработок {м}
renten,
organisation,организация {ж}
arbeitnehmern,
arbeitnehmerin,
arbeigeber,
betriebsgruppe,
betriebsmanagement,
mochten,
arbeitsverhaltnis,
beenden,завершать [несов.] / завершить [сов.] / заканчивать [несов.] / закончить [сов.] / кончать [несов.] / кончить [сов.] / оканчивать [несов.] / окончить [сов.] / прекратить [сов.] [закончить]
beachten,иметь в виду [принимать во внимание] / принимать во внимание / учесть [сов.] / учитывать [несов.]
gehaltszahlungen,
regel,менструация {ж} / месячные {мн} [разг.] / правило {с} / принцип {м} [правило]
hund,падаль {ж} [бран.] [о ничтожном человеке] / пёс {м} / собака {ж}
dunkler,темнее
kellner,кельнер {м} / официант {м} / человек {м} [устр.] [официант]
diskriminieurung,
kenntnisse,багаж {м} знаний [перен.] / знания {мн}
gering,низкий / незначительно
gekauft,
hause,
packen,паковать [несов.] / схватить [сов.] / сложиться [сов.] [разг.] [упаковать чемодан] / упаковывать [несов.] / пачка {ж} [стопка] / свёрток {м} [завёрнутые вещи] / тюк {м}
doch,а [после уступительного выражения или предложения] / же [я же сказал тебе...] / ведь / таки [разг.] [однако] / всё-таки / опять-таки [разг.] [всё-таки]
funktioniert,
kaputt,испорченный / ломаный / поломанный / сломанный
anzeige,донос {м} / дисплей {м} / заявление {с} [в полицию и т. п.] / объявление {с} [в газете и т. п.] / показания {мн} [измерительных приборов] / извещение {с} [объявление в газете] / анонс {м} / индикация {ж} / сообщение {с} о правонарушении / уведомление {с}
ungefragt,без спроса / не прошенный / не спрошенный
austauschen,заменять [несов.] / обмениваться [несов.] / подменять [несов.]
garantie,гарантия {ж}
aufschreiben,записать [сов.] [сделать заметки] / записывать [несов.] [делать заметки]
statistik,статистика {ж}
toleranz,терпимость {ж} / толерантность {ж}
bedeuatet,
moscheen,
ostern,
raketen,
luft,воздух {м}
pfingsten,пятидесятница {ж} / троица {ж} [троицын день]
internationaler,
trauertag,
bayerischer,
kultur,культура {ж}
christianity,
wochen,
bettag,
erntedankfest,праздник {м} урожая
allerheiligen,
gekommen,
lebten,
somalia,сомали {с} [нескл.]
nordkorea,северная корея {ж}
mexiko,мексика {ж}
bundeshrepublik,
angeworben,
nannte,
schwarzarbeiter,
schwarzarbeiterinnen,
zeitarbeiter,временный сотрудник {м}
zeitarbeiterinnen,
schichtarbeiter,сменщик {м}
schichtarbeiterinnen,
landkreis,"район {м} [единица административного деления германии, кроме северного рейна-вестфалии и шлезвиг-гольштейна]"
rhein,рейн {м}
sieg,выигрыш {м} [победа] / победа {ж}
kreis,район {м} [в северном рейне - вестфалии и шлезвиг-хольштайне] / круг {м} / окружность {ж}
landtag,"ландтаг {м} [орган самоуправления области или земли в германии, австрии, лихтенштейне, южном тироле]"
kommunalwahlen,муниципальные выборы {мн}
landesflagge,
themen,
informieren,извещать [несов.] / информировать [сов./несов.]
verbraucherzentrale,
kirchen,
landeshauptstadt,"столица {ж} (федеральной) земли [германии, австрии]"
regierungschef,глава {м} правительства
regierungschefin,глава {ж} правительства
innenminister,министр {м} внутренних дел
innenministerin,министр {м} внутренних дел [женщина]
